1	2	3	15	1	26	-1	0	0.0897426
2	3	1	16	1	25	-1	0	0.0645094
3	1	2	4	1	2	-1	0	0.0645271
4	1	3	9	2	36	-1	0	0.0772712
3	4	1	21	2	12	-1	0	0.1
5	6	7	10	3	19	-1	0	0.0751392
7	5	6	11	3	20	-1	0	0.0751392
8	9	6	15	4	22	-1	0	0.0751392
6	8	9	10	4	6	-1	0	0.0751392
10	5	11	6	5	19	-1	0	0.066545
5	11	10	7	5	20	-1	0	0.066545
10	8	6	15	6	21	-1	0	0.066545
6	10	8	5	6	19	-1	0	0.1
12	13	14	16	7	23	-1	0	0.0751392
14	12	13	17	7	24	-1	0	0.0751392
2	15	13	1	8	26	-1	0	0.0751671
13	2	15	16	8	11	-1	0	0.0771619
16	12	17	13	9	23	-1	0	0.066545
12	17	16	14	9	24	-1	0	0.066545
18	19	20	29	10	28	-1	0	0.0751392
20	18	19	28	10	18	-1	0	0.0751392
16	2	13	3	11	25	-1	0	0.0668231
13	16	2	12	11	23	-1	0	0.1
21	4	3	22	12	13	-1	0	0.066545
3	21	4	24	12	30	-1	0	0.0751392
21	22	4	24	13	29	-1	0	0.066545
23	24	25	22	14	31	-1	0	0.0751392
25	23	24	27	14	32	-1	0	0.0751392
26	20	9	28	15	33	-1	0	0.0751392
9	26	20	4	15	34	-1	0	0.0751392
22	23	27	24	16	31	-1	0	0.066545
23	27	22	25	16	32	-1	0	0.066545
28	26	4	20	17	33	-1	0	0.066545
26	4	28	9	17	34	-1	0	0.066545
28	18	20	29	18	27	-1	0	0.066545
20	28	18	26	18	33	-1	0	0.1
15	8	10	9	21	22	-1	0	0.066545
15	9	8	1	22	35	-1	0	0.1
1	15	2	9	26	35	-1	0	0.0647494
29	18	28	19	27	28	-1	0	0.066545
21	24	22	3	29	30	-1	0	0.0751392
24	22	21	23	29	31	-1	0	0.1
9	4	26	1	34	36	-1	0	0.1
1	9	15	4	35	36	-1	0	0.0774569
1	2	3	15	1	26	-1	1	0.0897426
2	3	1	16	1	25	-1	1	0.0645094
3	1	2	4	1	2	-1	1	0.0645271
4	1	3	9	2	36	-1	1	0.0772712
3	4	1	21	2	12	-1	1	0.1
5	6	7	10	3	19	-1	1	0.0751392
7	5	6	11	3	20	-1	1	0.0751392
8	9	6	15	4	22	-1	1	0.0751392
6	8	9	10	4	6	-1	1	0.0751392
10	5	11	6	5	19	-1	1	0.066545
5	11	10	7	5	20	-1	1	0.066545
10	8	6	15	6	21	-1	1	0.066545
6	10	8	5	6	19	-1	1	0.1
12	13	14	16	7	23	-1	1	0.0751392
14	12	13	17	7	24	-1	1	0.0751392
2	15	13	1	8	26	-1	1	0.0751671
13	2	15	16	8	11	-1	1	0.0771619
16	12	17	13	9	23	-1	1	0.066545
12	17	16	14	9	24	-1	1	0.066545
18	19	20	29	10	28	-1	1	0.0751392
20	18	19	28	10	18	-1	1	0.0751392
16	2	13	3	11	25	-1	1	0.0668231
13	16	2	12	11	23	-1	1	0.1
21	4	3	22	12	13	-1	1	0.066545
3	21	4	24	12	30	-1	1	0.0751392
21	22	4	24	13	29	-1	1	0.066545
23	24	25	22	14	31	-1	1	0.0751392
25	23	24	27	14	32	-1	1	0.0751392
26	20	9	28	15	33	-1	1	0.0751392
9	26	20	4	15	34	-1	1	0.0751392
22	23	27	24	16	31	-1	1	0.066545
23	27	22	25	16	32	-1	1	0.066545
28	26	4	20	17	33	-1	1	0.066545
26	4	28	9	17	34	-1	1	0.066545
28	18	20	29	18	27	-1	1	0.066545
20	28	18	26	18	33	-1	1	0.1
15	8	10	9	21	22	-1	1	0.066545
15	9	8	1	22	35	-1	1	0.1
1	15	2	9	26	35	-1	1	0.0647494
29	18	28	19	27	28	-1	1	0.066545
21	24	22	3	29	30	-1	1	0.0751392
24	22	21	23	29	31	-1	1	0.1
9	4	26	1	34	36	-1	1	0.1
1	9	15	4	35	36	-1	1	0.0774569
1	2	3	15	1	26	-1	2	0.0897426
2	3	1	16	1	25	-1	2	0.0645094
3	1	2	4	1	2	-1	2	0.0645271
4	1	3	9	2	36	-1	2	0.0772712
3	4	1	21	2	12	-1	2	0.1
5	6	7	10	3	19	-1	2	0.0751392
7	5	6	11	3	20	-1	2	0.0751392
8	9	6	15	4	22	-1	2	0.0751392
6	8	9	10	4	6	-1	2	0.0751392
10	5	11	6	5	19	-1	2	0.066545
5	11	10	7	5	20	-1	2	0.066545
10	8	6	15	6	21	-1	2	0.066545
6	10	8	5	6	19	-1	2	0.1
12	13	14	16	7	23	-1	2	0.0751392
14	12	13	17	7	24	-1	2	0.0751392
2	15	13	1	8	26	-1	2	0.0751671
13	2	15	16	8	11	-1	2	0.0771619
16	12	17	13	9	23	-1	2	0.066545
12	17	16	14	9	24	-1	2	0.066545
18	19	20	29	10	28	-1	2	0.0751392
20	18	19	28	10	18	-1	2	0.0751392
16	2	13	3	11	25	-1	2	0.0668231
13	16	2	12	11	23	-1	2	0.1
21	4	3	22	12	13	-1	2	0.066545
3	21	4	24	12	30	-1	2	0.0751392
21	22	4	24	13	29	-1	2	0.066545
23	24	25	22	14	31	-1	2	0.0751392
25	23	24	27	14	32	-1	2	0.0751392
26	20	9	28	15	33	-1	2	0.0751392
9	26	20	4	15	34	-1	2	0.0751392
22	23	27	24	16	31	-1	2	0.066545
23	27	22	25	16	32	-1	2	0.066545
28	26	4	20	17	33	-1	2	0.066545
26	4	28	9	17	34	-1	2	0.066545
28	18	20	29	18	27	-1	2	0.066545
20	28	18	26	18	33	-1	2	0.1
15	8	10	9	21	22	-1	2	0.066545
15	9	8	1	22	35	-1	2	0.1
1	15	2	9	26	35	-1	2	0.0647494
29	18	28	19	27	28	-1	2	0.066545
21	24	22	3	29	30	-1	2	0.0751392
24	22	21	23	29	31	-1	2	0.1
9	4	26	1	34	36	-1	2	0.1
1	9	15	4	35	36	-1	2	0.0774569
1	2	3	15	1	26	-1	3	0.0897426
2	3	1	16	1	25	-1	3	0.0645094
3	1	2	4	1	2	-1	3	0.0645271
4	1	3	9	2	36	-1	3	0.0772712
3	4	1	21	2	12	-1	3	0.1
5	6	7	10	3	19	-1	3	0.0751392
7	5	6	11	3	20	-1	3	0.0751392
8	9	6	15	4	22	-1	3	0.0751392
6	8	9	10	4	6	-1	3	0.0751392
10	5	11	6	5	19	-1	3	0.066545
5	11	10	7	5	20	-1	3	0.066545
10	8	6	15	6	21	-1	3	0.066545
6	10	8	5	6	19	-1	3	0.1
12	13	14	16	7	23	-1	3	0.0751392
14	12	13	17	7	24	-1	3	0.0751392
2	15	13	1	8	26	-1	3	0.0751671
13	2	15	16	8	11	-1	3	0.0771619
16	12	17	13	9	23	-1	3	0.066545
12	17	16	14	9	24	-1	3	0.066545
18	19	20	29	10	28	-1	3	0.0751392
20	18	19	28	10	18	-1	3	0.0751392
16	2	13	3	11	25	-1	3	0.0668231
13	16	2	12	11	23	-1	3	0.1
21	4	3	22	12	13	-1	3	0.066545
3	21	4	24	12	30	-1	3	0.0751392
21	22	4	24	13	29	-1	3	0.066545
23	24	25	22	14	31	-1	3	0.0751392
25	23	24	27	14	32	-1	3	0.0751392
26	20	9	28	15	33	-1	3	0.0751392
